san_pham_id,ten,mo_ta,gia,anh,con_hang,thuong_hieu
279257510,Điện Thoại Samsung Galaxy A57 5G ( 8GB/128GB) - Hàng Chính Hãng,Điện Thoại Samsung Galaxy A57 5G ( 8GB/128GB) - Hàng Chính Hãng,10990000,https://salt.tikicdn.com/cache/280x280/ts/product/f3/b3/35/708c25ae74a58326bbef1692a328c9ed.jpg,,Samsung
279257463,Điện Thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng Chính Hãng,Điện Thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng Chính Hãng,9490000,https://salt.tikicdn.com/cache/280x280/ts/product/6a/63/e2/b5cacfcd9cd46b01acf952837fcb09b8.jpg,,Samsung
279254865,Điện Thoại Xiaomi Redmi Note 15 Pro 5G 12GB/256GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi Note 15 Pro 5G 12GB/256GB - Hàng Chính Hãng,8899000,https://salt.tikicdn.com/cache/280x280/ts/product/24/d7/c6/85c64b1eb19e66136bb6cdce8060bf43.jpg,,Xiaomi
279254739,Điện Thoại Xiaomi Redmi 15 5G 8GB/256GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi 15 5G 8GB/256GB - Hàng Chính Hãng,5389000,https://salt.tikicdn.com/cache/280x280/ts/product/3a/42/5d/4e81d7e37790b8191e4ced236f116576.jpg,,Xiaomi
279231976,Apple iPad Air M4 11-Inch Wi-Fi,Apple iPad Air M4 11-Inch Wi-Fi,15990000,https://salt.tikicdn.com/cache/280x280/ts/product/84/51/3e/be4a7a52dbf14205c8d49cfe09b453e2.png,,Apple
279204182,Apple iPhone 17e,Apple iPhone 17e,16990000,https://salt.tikicdn.com/cache/280x280/ts/product/fb/16/51/9a75ea240dd4dc37a30fef4e877cdac0.jpg,,Apple
279188180,Máy Tính Bảng Galaxy Tab S10 Lite Wifi (8GB/256GB) - Hàng Chính Hãng,Máy Tính Bảng Galaxy Tab S10 Lite Wifi (8GB/256GB) - Hàng Chính Hãng,8490000,https://salt.tikicdn.com/cache/280x280/ts/product/5a/47/05/c50b36f92af5aec61f44d6fa95e8d2f5.png,,Samsung
279185853,Điện Thoại Samsung Galaxy S26 Ultra (12GB/256GB) - Hàng Chính Hãng,Điện Thoại Samsung Galaxy S26 Ultra (12GB/256GB) - Hàng Chính Hãng,32990000,https://salt.tikicdn.com/cache/280x280/ts/product/43/51/c7/cb1cb2583bc8c5d5ea0c9ed4a1f0394f.jpg,,Samsung
279185842,Điện Thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng Chính Hãng,Điện Thoại Samsung Galaxy S26+ (12GB/256GB) - Hàng Chính Hãng,26990000,https://salt.tikicdn.com/cache/280x280/ts/product/bb/2f/9b/c5ce38bd3b323671c47cc938464b0169.jpg,,Samsung
279185812,Điện Thoại Samsung Galaxy S26 (12GB/256GB) - Hàng Chính Hãng,Điện Thoại Samsung Galaxy S26 (12GB/256GB) - Hàng Chính Hãng,21990000,https://salt.tikicdn.com/cache/280x280/ts/product/8e/49/54/08c6ab66027620ef231fe7142c578536.jpg,,Samsung
279121902,Điện Thoại Samsung Galaxy A07 5G - Hàng Chính Hãng,Điện Thoại Samsung Galaxy A07 5G - Hàng Chính Hãng,3390000,https://salt.tikicdn.com/cache/280x280/ts/product/71/34/e7/1efcd5d7e1fe88396fd9f3e76eacc6d2.jpg,,Samsung
279077078, Điện thoại Oppo A5x (4GB/128GB) - Hàng chính hãng, Điện thoại Oppo A5x (4GB/128GB) - Hàng chính hãng,3850000,https://salt.tikicdn.com/cache/280x280/ts/product/97/33/44/0d6a9c27f2add6caffcb443aaa302311.jpg,,OPPO
279076941,Điện thoại Oppo A5x (4GB/64GB) - Hàng chính hãng,Điện thoại Oppo A5x (4GB/64GB) - Hàng chính hãng,3250000,https://salt.tikicdn.com/cache/280x280/ts/product/b2/a8/95/3bcdca758e0907907dbf580197465071.jpg,,OPPO
279076844,Điện Thoại Xiaomi Redmi Note 15 5G 6GB/128GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi Note 15 5G 6GB/128GB - Hàng Chính Hãng,6159000,https://salt.tikicdn.com/cache/280x280/ts/product/51/ef/0c/3564b30bfcdf7c986c029219fc4cae0d.jpg,,Xiaomi
279074841,Điện Thoại Xiaomi POCO C85 6GB/128GB - Hàng Chính Hãng,Điện Thoại Xiaomi POCO C85 6GB/128GB - Hàng Chính Hãng,3389000,https://salt.tikicdn.com/cache/280x280/ts/product/78/d0/26/95ea185e91bbddd9f59ba6c87dd119ab.jpg,,Xiaomi
278917445,Điện thoại Honor X6c - Hàng Chính Hãng,Điện thoại Honor X6c - Hàng Chính Hãng,3490000,https://salt.tikicdn.com/cache/280x280/ts/product/3b/3b/5d/8837ad400769ad8a9550df61533fde45.jpeg,,Honor
