ten_san_pham,thuong_hieu,gia,anh,link
OPPO Find X9s 12GB/256GB,OPPO,23.990.000₫,https://cdn.tgdd.vn/Products/Images/42/364792/oppo-find-x9s-cam-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-find-x9s
OPPO Find X9 Ultra 12GB/512GB,OPPO,48.990.000₫,https://cdn.tgdd.vn/Products/Images/42/364791/oppo-find-x9-ultra-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-find-x9-ultra
Vivo X300 Ultra 16GB/512GB,vivo,44.990.000₫,https://cdn.tgdd.vn/Products/Images/42/363408/vivo-x300-ultra-xanh-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-x300-ultra
iPhone 17 Pro Max 256GB,Unknown,36.990.000₫,https://cdn.tgdd.vn/Products/Images/42/342679/iphone-17-pro-max-cam-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-17-pro-max
iPhone 17 256GB,Unknown,24.490.000₫,https://cdn.tgdd.vn/Products/Images/42/342667/iphone-17-xanh-duong-thumb-2-600x600.jpg,https://www.thegioididong.com/dtdd/iphone-17
Samsung Galaxy A57 5G 8GB/128GB,Samsung,10.960.000₫,https://cdn.tgdd.vn/Products/Images/42/363398/samsung-galaxy-a57-tim-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-a57-8gb-128gb
Samsung Galaxy S26 Ultra 5G 12GB/256GB,Samsung,30.490.000₫,https://cdn.tgdd.vn/Products/Images/42/361951/samsung-galaxy-s26-ultra-12gb-256gb-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s26-ultra-12gb-256gb
Xiaomi 17 Ultra 5G 16GB/512GB,Xiaomi,31.470.000₫,https://cdn.tgdd.vn/Products/Images/42/361270/xiaomi-17-ultra-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-17-ultra
OPPO Reno15 5G 8GB/256GB,OPPO,15.490.000₫,https://cdn.tgdd.vn/Products/Images/42/360238/oppo-reno15-5g-8gb-256gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-reno15-5g-8gb-256gb
Vivo V70 FE 5G 8GB/256GB,vivo,13.490.000₫,https://cdn.tgdd.vn/Products/Images/42/363466/vivo-v70-fe-8gb-256gb-tim-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-v70-fe-8gb-256gb
realme P4 Power 5G 12GB/256GB,realme,15.190.000₫,https://cdn.tgdd.vn/Products/Images/42/363438/realme-p4-power-5g-12gb-256gb-cam-thumb-1-2-600x600.jpg,https://www.thegioididong.com/dtdd/realme-p4-power-5g-12gb-256gb
