name,price,brand,thumbnail
"Điện thoại Samsung Galaxy A06 5G (4/128GB), Màn Hình Cực Đại HD+ 6.7”, 5G Kết nối cực nhanh - Hàng chính hãng",2390000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/3c/e7/ec/70f5cce5f61c20938c38137bbc597663.jpg
"Điện Thoại Samsung Galaxy A17 5G, Camera 50MP & IOS, Kính Cường Lực Gorilla Victus, AI Gemini - Hàng Chính Hãng",4090000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/e1/15/fc/e25ade3b1844bf9e1047ad291d12057e.jpg
"Điện thoại Samsung Galaxy A26 5G (8/128GB), Mặt lưng kính, AI-Circle to Search, Camera HDR chụp đêm sáng rõ - Hàng chính hãng",5290000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/e3/9d/b3/7a965246188ce9d42ea6041b66f707da.jpg
"Điện Thoại Samsung Galaxy A17 LTE (8/128GB), Kính Cường Lực Gorilla Victus, Camera 50MP & IOS, AI Gemini - Hàng Chính Hãng",4190000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/9d/6d/b7/ac0cf6627957a9807103864b3cc18e7e.jpg
"Điện Thoại Samsung Galaxy S25 FE (8/128GB), Concert Camera 50MP, Pin bền bỉ, Trợ thủ AI thông minh - Hàng chính hãng",11990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/85/b0/07/e6d96d0f53a49f6cdb965d6c0e2fe10d.PNG
Điện Thoại Samsung Galaxy A57 5G ( 8GB/128GB) - Hàng Chính Hãng,10990000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/f3/b3/35/708c25ae74a58326bbef1692a328c9ed.jpg
Điện Thoại Samsung Galaxy A37 5G (8GB/128GB) - Hàng Chính Hãng,9490000,Samsung,https://salt.tikicdn.com/cache/280x280/ts/product/6a/63/e2/b5cacfcd9cd46b01acf952837fcb09b8.jpg
Điện Thoại Xiaomi Redmi Note 15 Pro 5G 12GB/256GB - Hàng Chính Hãng,8899000,Xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/24/d7/c6/85c64b1eb19e66136bb6cdce8060bf43.jpg
Điện Thoại Xiaomi Redmi 15 5G 8GB/256GB - Hàng Chính Hãng,5389000,Xiaomi,https://salt.tikicdn.com/cache/280x280/ts/product/3a/42/5d/4e81d7e37790b8191e4ced236f116576.jpg
Apple iPad Air M4 11-Inch Wi-Fi,15990000,Apple,https://salt.tikicdn.com/cache/280x280/ts/product/84/51/3e/be4a7a52dbf14205c8d49cfe09b453e2.png
